fid,objectid,name,gss_code,hectares,nonld_area,ons_inner,sub_2011
"1","1",Kingston upon Thames,E09000021,3726.117,0,F,South
"2","2",Croydon,E09000008,8649.441,0,F,South
"3","3",Bromley,E09000006,15013.487,0,F,South
"4","4",Hounslow,E09000018,5658.541,60.755,F,West
"5","5",Ealing,E09000009,5554.428,0,F,West
"6","6",Havering,E09000016,11445.735,210.763,F,East
"7","7",Hillingdon,E09000017,11570.063,0,F,West
"8","8",Harrow,E09000015,5046.33,0,F,West
"9","9",Brent,E09000005,4323.27,0,F,West
"10","10",Barnet,E09000003,8674.837,0,F,North
"11","11",Lewisham,E09000023,3531.706,16.795,T,East
"12","12",Greenwich,E09000011,5044.19,310.785,F,East
"13","13",Bexley,E09000004,6428.649,370.619,F,East
"14","14",Enfield,E09000010,8220.025,0,F,North
"15","15",Waltham Forest,E09000031,3880.793,0,F,East
"16","16",Lambeth,E09000022,2724.94,43.927,T,Central
"17","17",Redbridge,E09000026,5644.225,2.3,F,East
"18","18",Sutton,E09000029,4384.698,0,F,South
"19","20",Richmond upon Thames,E09000027,5876.111,135.443,F,South
"20","21",Merton,E09000024,3762.466,0,F,South
"21","22",Wandsworth,E09000032,3522.022,95.6,T,South
"22","23",Hammersmith and Fulham,E09000013,1715.409,75.648,T,West
"23","19",Southwark,E09000028,2991.34,105.139,T,Central
"24","24",Kensington and Chelsea,E09000020,1238.379,25.994,T,Central
"25","25",City of London,E09000001,314.942,24.546,T,Central
"26","26",Westminster,E09000033,2203.005,54.308,T,Central
"27","27",Camden,E09000007,2178.932,0,T,Central
"28","28",Tower Hamlets,E09000030,2157.501,178.867,T,East
"29","29",Islington,E09000019,1485.664,0,T,Central
"30","30",Hackney,E09000012,1904.902,0,T,East
"31","31",Haringey,E09000014,2959.837,0,T,North
"32","32",Newham,E09000025,3857.806,237.637,T,East
"33","33",Barking and Dagenham,E09000002,3779.934,169.15,F,East
